Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
David Raya,es ESP,GK,28,38,38,"3,420",38.0,0,0,0,0,0,0,3,0
William Saliba,fr FRA,DF,23,35,35,"3,039",33.8,2,0,2,2,0,0,2,1
Declan Rice,eng ENG,MF,25,35,33,"2,825",31.4,4,7,11,4,0,0,7,1
Thomas Partey,gh GHA,"MF,DF",31,35,31,"2,797",31.1,4,2,6,4,0,0,4,0
Leandro Trossard,be BEL,FW,29,38,28,"2,546",28.3,8,7,15,8,0,0,4,1
Gabriel Magalhães,br BRA,DF,26,28,28,"2,363",26.3,3,1,4,3,0,0,4,0
Jurriën Timber,nl NED,DF,23,30,27,"2,417",26.9,1,3,4,1,0,0,7,0
Martin Ødegaard,no NOR,MF,25,30,26,"2,325",25.8,3,8,11,2,1,1,4,0
Gabriel Martinelli,br BRA,"FW,MF",23,33,25,"2,290",25.4,8,4,12,8,0,0,1,0
Kai Havertz,de GER,"FW,MF",25,23,21,"1,875",20.8,9,3,12,9,0,0,5,0
Bukayo Saka,eng ENG,"FW,MF",22,25,20,"1,729",19.2,6,10,16,5,1,1,3,0
Mikel Merino,es ESP,"MF,FW",28,28,17,"1,586",17.6,7,2,9,7,0,0,4,1
Myles Lewis-Skelly,eng ENG,DF,17,23,15,"1,369",15.2,1,0,1,1,0,0,3,2
Ben White,eng ENG,DF,26,17,13,"1,198",13.3,0,2,2,0,0,0,2,0
Riccardo Calafiori,it ITA,DF,22,19,11,983,10.9,2,1,3,2,0,0,4,0
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Ethan Nwaneri,eng ENG,"FW,MF",17,26,11,895,9.9,4,2,6,4,0,0,1,0
Jakub Kiwior,pl POL,DF,24,17,10,"1,122",12.5,1,0,1,1,0,0,1,0
Jorginho,it ITA,MF,32,15,9,704,7.8,0,0,0,0,0,0,5,0
Raheem Sterling,eng ENG,"FW,MF",29,17,7,499,5.5,0,2,2,0,0,0,1,0
Gabriel Jesus,br BRA,FW,27,17,6,608,6.8,3,0,3,3,0,0,4,0
Oleksandr Zinchenko,ua UKR,"DF,MF",27,15,5,527,5.9,0,1,1,0,0,0,1,0
Kieran Tierney,sct SCO,"DF,FW",27,13,2,259,2.9,1,0,1,1,0,0,0,0
Nathan Butler-Oyedeji,eng ENG,FW,21,1,0,7,0.1,0,0,0,0,0,0,0,0
Takehiro Tomiyasu,jp JPN,DF,25,1,0,7,0.1,0,0,0,0,0,0,0,0
Reiss Nelson,eng ENG,FW,24,1,0,3,0.0,0,0,0,0,0,0,0,0
Brayden Clarke,wls WAL,DF,17,0,0,,,,,,,,,,
Jimi Gower,eng ENG,MF,19,0,0,,,,,,,,,,
Ayden Heaven,eng ENG,DF,17,0,0,,,,,,,,,,
Jack Henry-Francis,ie IRL,MF,20,0,0,,,,,,,,,,
Ismeal Kabia,eng ENG,MF,18,0,0,,,,,,,,,,
,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Maldini Kacurri,al ALB,DF,18,0,0,,,,,,,,,,
Neto,br BRA,GK,35,0,0,,,,,,,,,,
Josh Nichols,eng ENG,DF,18,0,0,,,,,,,,,,
Eddie Nketiah,eng ENG,FW,25,0,0,,,,,,,,,,
Salah Oulad M'Hand,nl NED,MF,20,0,0,,,,,,,,,,
Jack Porter,eng ENG,GK,16,0,0,,,,,,,,,,
Aaron Ramsdale,eng ENG,GK,26,0,0,,,,,,,,,,
Tommy Setford,eng ENG,GK,18,0,0,,,,,,,,,,
